Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS]
2013,YR2013,Afghanistan,AFG,2.06782464846981
2013,YR2013,Albania,ALB,28.2270072992701
2013,YR2013,Algeria,DZA,0.814866442180927
2013,YR2013,American Samoa,ASM,88.05
2013,YR2013,Andorra,ADO,34.0425531914894
2013,YR2013,Angola,AGO,46.6075238629983
2013,YR2013,Antigua and Barbuda,ATG,22.2727272727273
2013,YR2013,Argentina,ARG,10.1237626475779
2013,YR2013,Armenia,ARM,11.6473480857043
2013,YR2013,Aruba,ABW,2.33333333333333
2013,YR2013,Australia,AUS,16.1585723025656
2013,YR2013,Austria,AUT,46.8357344512971
2013,YR2013,Azerbaijan,AZE,13.1499292273074
2013,YR2013,"Bahamas, The",BHS,51.4485514485514
2013,YR2013,Bahrain,BHR,0.74025974025974
2013,YR2013,Bangladesh,BGD,11.0178996696628
2013,YR2013,Barbados,BRB,14.6511627906977
2013,YR2013,Belarus,BLR,42.3522744073727
2013,YR2013,Belgium,BEL,22.5402906208719
2013,YR2013,Belize,BLZ,60.3393248575186
2013,YR2013,Benin,BEN,39.1184817311103
2013,YR2013,Bermuda,BMU,20
2013,YR2013,Bhutan,BTN,71.7548600362043
2013,YR2013,Bolivia,BOL,51.086494969076
2013,YR2013,Bosnia and Herzegovina,BIH,42.67578125
2013,YR2013,Botswana,BWA,19.4879395832231
2013,YR2013,Brazil,BRA,59.2842426664306
2013,YR2013,Brunei Darussalam,BRN,72.1062618595825
2013,YR2013,Bulgaria,BGR,34.8986735445836
2013,YR2013,Burkina Faso,BFA,19.9912280701754
2013,YR2013,Burundi,BDI,10.3894080996885
2013,YR2013,Cabo Verde,CPV,21.8312655086849
2013,YR2013,Cambodia,KHM,55.0181282574213
2013,YR2013,Cameroon,CMR,40.7353345603012
2013,YR2013,Canada,CAN,38.1769195833072
2013,YR2013,Cayman Islands,CYM,52.9166666666667
2013,YR2013,Central African Republic,CAF,35.6370991043051
2013,YR2013,Chad,TCD,4.07258576874206
2013,YR2013,Channel Islands,CHI,4.21052631578947
2013,YR2013,Chile,CHL,23.0432583937208
2013,YR2013,China,CHN,21.8611298787383
2013,YR2013,Colombia,COL,52.7761784587652
2013,YR2013,Comoros,COM,20.3116603976357
2013,YR2013,"Congo, Dem. Rep.",ZAR,67.5771597450431
2013,YR2013,"Congo, Rep.",COG,65.489897510981
2013,YR2013,Costa Rica,CRI,52.7927927927928
2013,YR2013,Cote d'Ivoire,CIV,32.7100628930818
2013,YR2013,Croatia,HRV,34.3316654753395
2013,YR2013,Cuba,CUB,29.0542889083035
2013,YR2013,Curacao,CUW,..
2013,YR2013,Cyprus,CYP,18.6969696969697
2013,YR2013,Czech Republic,CZE,34.4814191376408
2013,YR2013,Denmark,DNK,14.191845392411
2013,YR2013,Djibouti,DJI,0.241587575496117
2013,YR2013,Dominica,DMA,58.48
2013,YR2013,Dominican Republic,DOM,39.6647350993377
2013,YR2013,Ecuador,ECU,51.1569898534386
2013,YR2013,"Egypt, Arab Rep.",EGY,0.0721281832337134
2013,YR2013,El Salvador,SLV,13.2142857142857
2013,YR2013,Equatorial Guinea,GNQ,56.7272727272727
2013,YR2013,Eritrea,ERI,15.0376237623762
2013,YR2013,Estonia,EST,52.6728001887238
2013,YR2013,Ethiopia,ETH,12.4178
2013,YR2013,Faeroe Islands,FRO,0.0573065902578797
2013,YR2013,Fiji,FJI,55.143951833607
2013,YR2013,Finland,FIN,73.1119813090263
2013,YR2013,France,FRA,30.6141643701021
2013,YR2013,French Polynesia,PYF,42.3497267759563
2013,YR2013,Gabon,GAB,87.7090852640975
2013,YR2013,"Gambia, The",GMB,47.905138339921
2013,YR2013,Georgia,GEO,40.6159159591308
2013,YR2013,Germany,DEU,32.7509037700121
2013,YR2013,Ghana,GHA,40.7849169376813
2013,YR2013,Greece,GRC,30.9821567106284
2013,YR2013,Greenland,GRL,0.000535997076379583
2013,YR2013,Grenada,GRD,49.9705882352941
2013,YR2013,Guam,GUM,46.2962962962963
2013,YR2013,Guatemala,GTM,33.7140724150803
2013,YR2013,Guinea,GIN,26.192414129904
2013,YR2013,Guinea-Bissau,GNB,70.8392603129445
2013,YR2013,Guyana,GUY,84.0538481076962
2013,YR2013,Haiti,HTI,3.57764876632801
2013,YR2013,Honduras,HND,43.1852712485477
2013,YR2013,"Hong Kong SAR, China",HKG,..
2013,YR2013,Hungary,HUN,22.7526786700541
2013,YR2013,Iceland,ISL,0.464837905236908
2013,YR2013,India,IND,23.6531133227274
2013,YR2013,Indonesia,IDN,50.9937788768858
2013,YR2013,"Iran, Islamic Rep.",IRN,6.5653372632096
2013,YR2013,Iraq,IRQ,1.89952109044023
2013,YR2013,Ireland,IRL,10.7803745100885
2013,YR2013,Isle of Man,IMY,6.07017543859649
2013,YR2013,Israel,ISR,7.42144177449168
2013,YR2013,Italy,ITA,31.2415856394914
2013,YR2013,Jamaica,JAM,31.0212373037858
2013,YR2013,Japan,JPN,68.469387755102
2013,YR2013,Jordan,JOR,1.09822031989187
2013,YR2013,Kazakhstan,KAZ,1.22569174352706
2013,YR2013,Kenya,KEN,7.62518888147029
2013,YR2013,Kiribati,KIR,15
2013,YR2013,"Korea, Dem. Rep.",PRK,43.8917033468981
2013,YR2013,"Korea, Rep.",KOR,63.6037182196869
2013,YR2013,Kosovo,KSV,..
2013,YR2013,Kuwait,KWT,0.350729517396184
2013,YR2013,Kyrgyz Republic,KGZ,3.40458811261731
2013,YR2013,Lao PDR,LAO,79.6493500866551
